filename_id,spectral_centroid_mean,spectral_rolloff_85_mean,spectral_flux_mean,spectral_bandwidth_mean,spectral_flatness_mean,zero_crossing_rate_mean,rms_db_mean,tempo_bpm,attack_time_s,decay_time_s
script,1.0,1.0,1.0,0.8472913100683788,0.4545943546570697,0.9999999999999999,0.3563271268563257,1.0,0.41416309012875535,0.9999999999999998
rhythm,0.0,0.0,0.0,0.0,0.0,0.18567733681921117,0.9999999999999998,0.7297297297297298,0.0,0.026578073089700727
echoes,0.5781763491313981,0.4643578488387287,0.5325712192986778,1.0,1.0,0.0,0.0,0.0,1.0,0.0
