filename_id,spectral_centroid_mean,spectral_rolloff_85_mean,spectral_flux_mean,spectral_bandwidth_mean,spectral_flatness_mean,zero_crossing_rate_mean,rms_db_mean,tempo_bpm,attack_time_s,decay_time_s
script,3593.508352059105,8354.162997032805,0.82413924,4407.966926148921,0.0012917939,0.07399614098061878,-13.629484,[143.5546875],4.8297505668934235,8.266303854875284
rhythm,1522.1564846708552,1572.2474145107583,0.6415302,2618.6891295583246,8.184748e-05,0.03692343456497609,-9.247446,[139.67483108],2.5890249433106574,4.864580498866213
echoes,2719.7631451238976,4721.48314541655,0.7387825,4730.451371574233,0.0027434432,0.02847032168088976,-16.055311,[129.19921875],7.999274376417233,4.77170068027211
